; Candidate 467
; ADRP+ADD at VM 0xfffffff007f279b4 (fileoff 0xf239b4): page=0x22a4000 add_imm=0xd48

0xfffffff007f27934: 13e51591  add	x19, x8, #0x579
0xfffffff007f27938: e00313aa  mov	x0, x19
0xfffffff007f2793c: 31d7f897  bl	#0xfffffff007d5d600
0xfffffff007f27940: 02040091  add	x2, x0, #1
0xfffffff007f27944: a00302d1  sub	x0, x29, #0x80
0xfffffff007f27948: e10313aa  mov	x1, x19
0xfffffff007f2794c: 5f4000f1  cmp	x2, #0x10
0xfffffff007f27950: a8050054  b.hi	#0xfffffff007f27a04
0xfffffff007f27954: 0f94f897  bl	#0xfffffff007d4c990
0xfffffff007f27958: 2e000014  b	#0xfffffff007f27a10
0xfffffff007f2795c: 1c008052  mov	w28, #0
0xfffffff007f27960: e4010014  b	#0xfffffff007f280f0
0xfffffff007f27964: 2087ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007f27968: 00000091  add	x0, x0, #0
0xfffffff007f2796c: 811701f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007f27970: 21502f91  add	x1, x1, #0xbd4
0xfffffff007f27974: 238cff90  adrp	x3, #0xfffffff0070ab000
0xfffffff007f27978: 63001691  add	x3, x3, #0x580
0xfffffff007f2797c: 42008052  mov	w2, #2
0xfffffff007f27980: ec2d1094  bl	#0xfffffff008333130
0xfffffff007f27984: bc058052  mov	w28, #0x2d
0xfffffff007f27988: da010014  b	#0xfffffff007f280f0
0xfffffff007f2798c: 2087ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007f27990: 00000091  add	x0, x0, #0
0xfffffff007f27994: 811701f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007f27998: 21502f91  add	x1, x1, #0xbd4
0xfffffff007f2799c: 238cff90  adrp	x3, #0xfffffff0070ab000
0xfffffff007f279a0: 63701691  add	x3, x3, #0x59c
0xfffffff007f279a4: 42008052  mov	w2, #2
0xfffffff007f279a8: e22d1094  bl	#0xfffffff008333130
0xfffffff007f279ac: bc058052  mov	w28, #0x2d
0xfffffff007f279b0: d0010014  b	#0xfffffff007f280f0
0xfffffff007f279b4: 20150190  adrp	x0, #0xfffffff00a1cb000
0xfffffff007f279b8: 00203591  add	x0, x0, #0xd48
0xfffffff007f279bc: a32302d1  sub	x3, x29, #0x88
0xfffffff007f279c0: c2038052  mov	w2, #0x1e
0xfffffff007f279c4: dac4f997  bl	#0xfffffff007d98d2c
0xfffffff007f279c8: a0000035  cbnz	w0, #0xfffffff007f279dc
0xfffffff007f279cc: b38357f8  ldur	x19, [x29, #-0x88]
0xfffffff007f279d0: 68060091  add	x8, x19, #1
0xfffffff007f279d4: 1f0900f1  cmp	x8, #2
0xfffffff007f279d8: a2080054  b.hs	#0xfffffff007f27aec
0xfffffff007f279dc: 2087ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007f279e0: 00000091  add	x0, x0, #0
0xfffffff007f279e4: 811701f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007f279e8: 21502f91  add	x1, x1, #0xbd4
0xfffffff007f279ec: 238cff90  adrp	x3, #0xfffffff0070ab000
0xfffffff007f279f0: 63d41691  add	x3, x3, #0x5b5
0xfffffff007f279f4: 02028052  mov	w2, #0x10
0xfffffff007f279f8: ce2d1094  bl	#0xfffffff008333130
0xfffffff007f279fc: 9c078052  mov	w28, #0x3c
0xfffffff007f27a00: bc010014  b	#0xfffffff007f280f0
0xfffffff007f27a04: 02028052  mov	w2, #0x10
0xfffffff007f27a08: e293f897  bl	#0xfffffff007d4c990
0xfffffff007f27a0c: bf031938  sturb	wzr, [x29, #-0x70]
0xfffffff007f27a10: 28e34079  ldrh	w8, [x25, #0x70]
0xfffffff007f27a14: 08050051  sub	w8, w8, #1
0xfffffff007f27a18: 1f110071  cmp	w8, #4
0xfffffff007f27a1c: c8000054  b.hi	#0xfffffff007f27a34
0xfffffff007f27a20: 083d4092  and	x8, x8, #0xffff
0xfffffff007f27a24: c9cefff0  adrp	x9, #0xfffffff007902000
0xfffffff007f27a28: 29811391  add	x9, x9, #0x4e0
0xfffffff007f27a2c: 287968f8  ldr	x8, [x9, x8, lsl #3]
0xfffffff007f27a30: 03000014  b	#0xfffffff007f27a3c
