; Candidate 7624
; ADRP+ADD at VM 0xfffffff0088753e4 (fileoff 0x18713e4): page=0x1fe99e000 add_imm=0xe0f

0xfffffff008875364: 00008052  mov	w0, #0
0xfffffff008875368: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00887536c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008875370: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008875374: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008875378: ff030291  add	sp, sp, #0x80
0xfffffff00887537c: ff0f5fd6  retab	
0xfffffff008875380: 7f2303d5  pacibsp	
0xfffffff008875384: ff8301d1  sub	sp, sp, #0x60
0xfffffff008875388: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00887538c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008875390: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008875394: fd430191  add	x29, sp, #0x50
0xfffffff008875398: f30300aa  mov	x19, x0
0xfffffff00887539c: 600b8052  mov	w0, #0x5b
0xfffffff0088753a0: e1008052  mov	w1, #7
0xfffffff0088753a4: 0b190094  bl	#0xfffffff00887b7d0
0xfffffff0088753a8: a0040034  cbz	w0, #0xfffffff00887543c
0xfffffff0088753ac: 600b8052  mov	w0, #0x5b
0xfffffff0088753b0: 1a190094  bl	#0xfffffff00887b818
0xfffffff0088753b4: f50300aa  mov	x21, x0
0xfffffff0088753b8: 7dfb0094  bl	#0xfffffff0088b41ac
0xfffffff0088753bc: f40300aa  mov	x20, x0
0xfffffff0088753c0: e0008052  mov	w0, #7
0xfffffff0088753c4: 23190094  bl	#0xfffffff00887b850
0xfffffff0088753c8: 75010034  cbz	w21, #0xfffffff0088753f4
0xfffffff0088753cc: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff0088753d0: 08493391  add	x8, x8, #0xcd2
0xfffffff0088753d4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088753d8: 680b8052  mov	w8, #0x5b
0xfffffff0088753dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088753e0: f40300f9  str	x20, [sp]
0xfffffff0088753e4: e04cffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088753e8: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088753ec: 1d08d597  bl	#0xfffffff007db7460
0xfffffff0088753f0: 13000014  b	#0xfffffff00887543c
0xfffffff0088753f4: 6efb0094  bl	#0xfffffff0088b41ac
0xfffffff0088753f8: f40300aa  mov	x20, x0
0xfffffff0088753fc: e0008052  mov	w0, #7
0xfffffff008875400: 14190094  bl	#0xfffffff00887b850
0xfffffff008875404: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff008875408: 08493391  add	x8, x8, #0xcd2
0xfffffff00887540c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008875410: 680b8052  mov	w8, #0x5b
0xfffffff008875414: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008875418: f40300f9  str	x20, [sp]
0xfffffff00887541c: a04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008875420: 00003a91  add	x0, x0, #0xe80
0xfffffff008875424: 818cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008875428: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887542c: 234fff90  adrp	x3, #0xfffffff007259000
0xfffffff008875430: 631c2391  add	x3, x3, #0x8c7
0xfffffff008875434: 02008052  mov	w2, #0
0xfffffff008875438: 3ef7ea97  bl	#0xfffffff008333130
0xfffffff00887543c: 94088052  mov	w20, #0x44
0xfffffff008875440: 140ca072  movk	w20, #0x60, lsl #16
0xfffffff008875444: 82121f11  add	w2, w20, #0x7c4
0xfffffff008875448: e00313aa  mov	x0, x19
0xfffffff00887544c: 21008052  mov	w1, #1
0xfffffff008875450: 23008052  mov	w3, #1
0xfffffff008875454: 473f0094  bl	#0xfffffff008885170
0xfffffff008875458: e00313aa  mov	x0, x19
0xfffffff00887545c: 21008052  mov	w1, #1
0xfffffff008875460: 82088052  mov	w2, #0x44
