; Candidate 7588
; ADRP+ADD at VM 0xfffffff008873d44 (fileoff 0x186fd44): page=0x1fe9a0000 add_imm=0xe0f

0xfffffff008873cc4: 00008052  mov	w0, #0
0xfffffff008873cc8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008873ccc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008873cd0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008873cd4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008873cd8: ff030291  add	sp, sp, #0x80
0xfffffff008873cdc: ff0f5fd6  retab	
0xfffffff008873ce0: 7f2303d5  pacibsp	
0xfffffff008873ce4: ff8301d1  sub	sp, sp, #0x60
0xfffffff008873ce8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008873cec: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008873cf0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008873cf4: fd430191  add	x29, sp, #0x50
0xfffffff008873cf8: f30300aa  mov	x19, x0
0xfffffff008873cfc: 600b8052  mov	w0, #0x5b
0xfffffff008873d00: e1008052  mov	w1, #7
0xfffffff008873d04: b31e0094  bl	#0xfffffff00887b7d0
0xfffffff008873d08: a0040034  cbz	w0, #0xfffffff008873d9c
0xfffffff008873d0c: 600b8052  mov	w0, #0x5b
0xfffffff008873d10: c21e0094  bl	#0xfffffff00887b818
0xfffffff008873d14: f50300aa  mov	x21, x0
0xfffffff008873d18: 25010194  bl	#0xfffffff0088b41ac
0xfffffff008873d1c: f40300aa  mov	x20, x0
0xfffffff008873d20: e0008052  mov	w0, #7
0xfffffff008873d24: cb1e0094  bl	#0xfffffff00887b850
0xfffffff008873d28: 75010034  cbz	w21, #0xfffffff008873d54
0xfffffff008873d2c: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff008873d30: 08ed2e91  add	x8, x8, #0xbbb
0xfffffff008873d34: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008873d38: 680b8052  mov	w8, #0x5b
0xfffffff008873d3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008873d40: f40300f9  str	x20, [sp]
0xfffffff008873d44: 004dff90  adrp	x0, #0xfffffff007213000
0xfffffff008873d48: 003c3891  add	x0, x0, #0xe0f
0xfffffff008873d4c: c50dd597  bl	#0xfffffff007db7460
0xfffffff008873d50: 13000014  b	#0xfffffff008873d9c
0xfffffff008873d54: 16010194  bl	#0xfffffff0088b41ac
0xfffffff008873d58: f40300aa  mov	x20, x0
0xfffffff008873d5c: e0008052  mov	w0, #7
0xfffffff008873d60: bc1e0094  bl	#0xfffffff00887b850
0xfffffff008873d64: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff008873d68: 08ed2e91  add	x8, x8, #0xbbb
0xfffffff008873d6c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008873d70: 680b8052  mov	w8, #0x5b
0xfffffff008873d74: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008873d78: f40300f9  str	x20, [sp]
0xfffffff008873d7c: a04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008873d80: 00003a91  add	x0, x0, #0xe80
0xfffffff008873d84: a18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008873d88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008873d8c: 234fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008873d90: 636c1591  add	x3, x3, #0x55b
0xfffffff008873d94: 02008052  mov	w2, #0
0xfffffff008873d98: e6fcea97  bl	#0xfffffff008333130
0xfffffff008873d9c: e00313aa  mov	x0, x19
0xfffffff008873da0: 21008052  mov	w1, #1
0xfffffff008873da4: 02018152  mov	w2, #0x808
0xfffffff008873da8: 23008052  mov	w3, #1
0xfffffff008873dac: f1440094  bl	#0xfffffff008885170
0xfffffff008873db0: e00313aa  mov	x0, x19
0xfffffff008873db4: 21008052  mov	w1, #1
0xfffffff008873db8: 82088052  mov	w2, #0x44
0xfffffff008873dbc: 03008052  mov	w3, #0
0xfffffff008873dc0: ec440094  bl	#0xfffffff008885170
